집계일자,집계시,출발영업소코드,도착영업소코드,TCS차종구분코드,통행시간
20190204,5,101,140,1,15015
20190204,4,101,140,3,-1
20190204,6,101,140,1,15068
20190204,8,101,140,1,15659
20190204,4,101,140,1,14954
20190204,20,101,140,1,18897
20190204,12,101,140,1,18108
20190204,21,101,140,1,17623
20190204,0,101,140,1,18388
20190204,7,101,140,1,16114
20190204,7,101,140,6,18260
20190204,23,101,140,1,16281
20190204,1,101,140,1,16827
20190204,1,101,140,6,-1
20190204,2,101,140,1,16092
20190204,3,101,140,1,15511
20190204,9,101,140,1,15802
20190204,10,101,140,1,16588
20190204,13,101,140,1,18340
20190204,17,101,140,1,20553
20190204,17,101,140,6,21874
20190204,15,101,140,1,19454
20190204,22,101,140,1,17172
20190204,11,101,140,1,17550
20190204,14,101,140,1,18699
20190204,18,101,140,1,19325
20190204,19,101,140,6,19477
20190204,16,101,140,1,19792
20190204,19,101,140,1,18713
20190204,18,101,140,6,21549
